laptop_ID,Company,TypeName,Inches,PanelType,Touchscreen,ProcessorType,ModelIdentifier,Core,ProcessorSpeed(GHz),Ram(GB),Memory SSD GB,Memory HDD GB,Memory FL STO GB,Memory Hybrid GB,GpuBrand,GpuModel,OpSys,Weight(KG),Price_euros,Ancho,Alto,Pixeles,AspectRatio
599,3,1,11.6,6,1,9.0,730,0.0,1.0,4,128.0,0.0,0.0,0.0,3,615,5,1.39,603.0,1366,768,1049088,1.7786458333333333
92,2,2,15.6,1,0,10.0,9830,0.0,3.0,8,0.0,1000.0,0.0,0.0,16,560,5,2.45,699.0,1920,1080,2073600,1.7777777777777777
744,4,3,15.6,1,0,1.0,7700,0.0,2.8,16,256.0,0.0,0.0,0.0,12,2200,5,2.6,2419.0,1920,1080,2073600,1.7777777777777777
729,4,1,13.3,2,1,5.0,7200,0.0,2.5,8,256.0,0.0,0.0,0.0,3,620,5,1.58,836.6,1366,768,1049088,1.7786458333333333
957,8,4,15.6,6,0,5.0,6200,0.0,2.3,8,256.0,0.0,0.0,0.0,3,520,5,2.2,1119.0,1366,768,1049088,1.7786458333333333
548,3,4,14.0,1,0,4.0,6006,0.0,2.0,4,128.0,0.0,0.0,0.0,3,520,5,1.6,735.87,1920,1080,2073600,1.7777777777777777
694,4,4,15.6,6,0,5.0,7200,0.0,2.5,4,0.0,500.0,0.0,0.0,14,520,5,1.86,612.61,1366,768,1049088,1.7786458333333333
674,3,4,15.6,1,0,5.0,7200,0.0,2.5,8,0.0,1000.0,0.0,0.0,3,620,5,2.06,955.0,1920,1080,2073600,1.7777777777777777
983,5,4,15.6,1,0,5.0,7200,0.0,2.5,6,256.0,0.0,0.0,0.0,8,920,5,2.4,695.0,1920,1080,2073600,1.7777777777777777
959,5,2,15.6,4,0,10.0,8800,0.0,2.1,16,512.0,1000.0,0.0,0.0,15,9,5,2.5,999.0,1920,1080,2073600,1.7777777777777777
1013,4,5,14.0,1,0,1.0,7500,0.0,2.7,8,512.0,0.0,0.0,0.0,3,620,5,1.48,2089.0,1920,1080,2073600,1.7777777777777777
1077,3,4,15.6,1,0,1.0,7500,0.0,2.7,16,0.0,2000.0,0.0,0.0,15,7,5,2.32,989.99,1920,1080,2073600,1.7777777777777777
771,7,5,12.3,6,1,5.0,757,0.0,1.2,8,256.0,0.0,0.0,0.0,3,615,1,1.1,1559.0,2400,1600,3840000,1.5
